2026-08-07T07:45:06Z	load=26.43 24.05 22.73 33/6815 3589610	acct_cpu=152.6	lsphp_n=2	warm=74.3,00:03	auto=	qwork=54.1,00:06,1	wd=	sched=9.5,00:06	lve_fail=
2026-08-07T07:45:22Z	load=26.65 24.22 22.80 34/6681 3615220	acct_cpu=339.3	lsphp_n=8	warm=	auto=	qwork=	wd=	sched=2.7,00:21	lve_fail=
2026-08-07T07:45:37Z	load=26.28 24.24 22.83 39/6756 3627940	acct_cpu=287.1	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=1.5,00:37	lve_fail=
2026-08-07T07:45:53Z	ssh_error
2026-08-07T07:46:08Z	load=27.39 24.66 23.01 35/6761 3666939	acct_cpu=283.9	lsphp_n=4	warm=	auto=	qwork=45.8,00:07,1	wd=	sched=0.8,01:08	lve_fail=
2026-08-07T07:46:23Z	load=25.85 24.46 22.98 38/6707 3699596	acct_cpu=103.2	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=0.7,01:23	lve_fail=
2026-08-07T07:46:39Z	load=27.22 24.83 23.12 38/6705 3714526	acct_cpu=171.9	lsphp_n=3	warm=	auto=	qwork=	wd=	sched=0.6,01:38	lve_fail=
2026-08-07T07:46:54Z	load=28.33 25.17 23.26 39/6689 3725876	acct_cpu=342.8	lsphp_n=6	warm=	auto=	qwork=	wd=	sched=0.5,01:54	lve_fail=
2026-08-07T07:47:09Z	load=28.41 25.35 23.35 39/6699 3741948	acct_cpu=330.9	lsphp_n=6	warm=	auto=	qwork=10.3,00:08,1	wd=	sched=0.4,02:09	lve_fail=
2026-08-07T07:47:24Z	load=28.51 25.51 23.43 32/6715 3755113	acct_cpu=401.3	lsphp_n=8	warm=	auto=	qwork=16,00:23,1	wd=	sched=	lve_fail=
2026-08-07T07:47:40Z	load=28.09 25.58 23.49 43/6723 3768136	acct_cpu=366.5	lsphp_n=10	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:47:55Z	load=27.62 25.60 23.53 46/6761 3780175	acct_cpu=461.0	lsphp_n=11	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:48:11Z	load=29.57 26.11 23.73 74/6838 3811116	acct_cpu=537.7	lsphp_n=8	warm=57.1,00:13	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:48:26Z	load=32.69 27.01 24.07 48/6752 3842532	acct_cpu=567.4	lsphp_n=11	warm=	auto=	qwork=	wd=37.0,00:02	sched=	lve_fail=
2026-08-07T07:48:41Z	load=30.42 26.80 24.04 40/6714 3854930	acct_cpu=677.1	lsphp_n=15	warm=	auto=33.6,00:06	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:48:57Z	load=29.69 26.82 24.10 52/6685 3866703	acct_cpu=666.8	lsphp_n=18	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:49:12Z	load=32.17 27.52 24.37 54/6800 3882895	acct_cpu=599.9	lsphp_n=17	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:49:28Z	load=31.44 27.56 24.43 34/6768 3895363	acct_cpu=406.6	lsphp_n=12	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:49:44Z	load=29.77 27.38 24.43 28/6696 3906944	acct_cpu=353.9	lsphp_n=11	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:49:59Z	load=27.10 26.91 24.32 28/6655 3918305	acct_cpu=390.3	lsphp_n=12	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:50:14Z	load=26.55 26.81 24.33 28/6707 3960195	acct_cpu=409.6	lsphp_n=10	warm=65.6,00:11	auto=	qwork=23.6,00:14,1	wd=	sched=3.9,00:14	lve_fail=
2026-08-07T07:50:30Z	load=29.56 27.45 24.58 47/6738 3979114	acct_cpu=345.3	lsphp_n=11	warm=	auto=	qwork=33.3,00:29,1	wd=	sched=	lve_fail=
2026-08-07T07:50:45Z	load=28.23 27.25 24.56 36/6668 3990834	acct_cpu=367.8	lsphp_n=13	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:51:00Z	load=27.86 27.20 24.59 52/6825 4002107	acct_cpu=252.0	lsphp_n=8	warm=	auto=	qwork=0,00:00,1	wd=	sched=0.0,00:00	lve_fail=
2026-08-07T07:51:16Z	load=28.18 27.33 24.67 22/6671 4018340	acct_cpu=252.9	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=3.6,00:15	lve_fail=
2026-08-07T07:51:31Z	load=26.84 27.09 24.63 24/6713 4029931	acct_cpu=187.5	lsphp_n=4	warm=	auto=	qwork=	wd=	sched=1.7,00:31	lve_fail=
2026-08-07T07:51:46Z	load=25.22 26.72 24.55 25/6706 4041215	acct_cpu=44.1	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:52:02Z	load=24.94 26.61 24.55 43/6769 4058311	acct_cpu=187.4	lsphp_n=3	warm=	auto=	qwork=55,00:01,1	wd=	sched=55.0,00:01	lve_fail=
2026-08-07T07:52:18Z	load=27.30 27.06 24.73 37/6786 4100698	acct_cpu=22.7	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:52:33Z	load=28.90 27.43 24.89 27/6817 4114113	acct_cpu=45.0	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:52:49Z	load=28.87 27.49 24.95 35/6869 4125259	acct_cpu=240.4	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:53:04Z	load=29.04 27.58 25.03 34/6940 4141682	acct_cpu=275.5	lsphp_n=4	warm=83.0,00:02	auto=	qwork=	wd=	sched=12.7,00:04	lve_fail=
2026-08-07T07:53:20Z	load=29.17 27.70 25.10 26/6911 4157401	acct_cpu=306.1	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:53:35Z	load=28.51 27.64 25.13 55/6738 4167970	acct_cpu=317.6	lsphp_n=6	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:53:50Z	load=26.71 27.29 25.05 23/6674 4179998	acct_cpu=205.3	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:54:05Z	load=25.68 27.03 25.00 33/6679 11207	acct_cpu=318.4	lsphp_n=6	warm=88.3,00:03	auto=	qwork=	wd=	sched=10.2,00:05	lve_fail=
2026-08-07T07:54:21Z	load=25.68 26.96 25.01 32/6670 45902	acct_cpu=248.6	lsphp_n=3	warm=	auto=	qwork=	wd=	sched=	lve_fail=
